Order ID,Order Date,Order Time,Hour,Day,Month,Weekend/Weekday,Time of Day,Branch,Product Name,Category,Unit Price,Quantity,Sales,Profit,Customer Type,Payment Mode
ORD-00001,2025-01-01,11:38,11,Wednesday,January,Weekday,Morning,Downtown,Choco Lava Cake,Desserts,4.99,2,9.98,3.89,Takeaway,Apple Pay
ORD-00002,2025-01-01,11:46,11,Wednesday,January,Weekday,Morning,East Austin,Veggie Overload,Pizza,14.49,3,43.47,20.3,Dine-in,Apple Pay
ORD-00003,2025-01-01,13:14,13,Wednesday,January,Weekday,Afternoon,South Congress,Stuffed Garlic Bread,Sides,7.99,2,15.98,6.57,Delivery,Card
ORD-00004,2025-01-01,14:42,14,Wednesday,January,Weekday,Afternoon,The Domain,Garlic Breadsticks,Sides,6.49,2,12.98,6.09,Dine-in,Apple Pay
ORD-00005,2025-01-01,15:02,15,Wednesday,January,Weekday,Afternoon,Downtown,Brownie Sundae,Desserts,5.99,1,5.99,2.53,Dine-in,Card
ORD-00006,2025-01-01,16:03,16,Wednesday,January,Weekday,Afternoon,The Domain,Stuffed Garlic Bread,Sides,7.99,2,15.98,7.48,Dine-in,Cash
ORD-00007,2025-01-01,16:12,16,Wednesday,January,Weekday,Afternoon,East Austin,Lemonade,Beverages,3.99,1,3.99,2.03,Takeaway,Cash
ORD-00008,2025-01-01,17:21,17,Wednesday,January,Weekday,Evening,Round Rock,Soda,Beverages,2.49,3,7.47,3.69,Takeaway,Card
ORD-00009,2025-01-01,18:28,18,Wednesday,January,Weekday,Evening,The Domain,Pizza Mania Combo,Combos,19.99,1,19.99,7.28,Takeaway,Card
ORD-00010,2025-01-01,18:42,18,Wednesday,January,Weekday,Evening,Downtown,BBQ Chicken,Pizza,15.99,2,31.98,15.45,Dine-in,Apple Pay
ORD-00011,2025-01-01,18:48,18,Wednesday,January,Weekday,Evening,East Austin,Buffalo Chicken,Pizza,16.49,1,16.49,8.18,Dine-in,Card
ORD-00012,2025-01-01,18:57,18,Wednesday,January,Weekday,Evening,Round Rock,Buffalo Chicken,Pizza,16.49,3,49.47,22.88,Takeaway,Card
ORD-00013,2025-01-01,19:25,19,Wednesday,January,Weekday,Evening,South Congress,Soda,Beverages,2.49,2,4.98,2.48,Takeaway,Card
ORD-00014,2025-01-01,19:35,19,Wednesday,January,Weekday,Evening,South Congress,Margherita,Pizza,11.99,1,11.99,5.81,Delivery,Google Pay
ORD-00015,2025-01-01,19:40,19,Wednesday,January,Weekday,Evening,Round Rock,Soda,Beverages,2.49,4,9.96,5.05,Delivery,Cash
ORD-00016,2025-01-01,19:46,19,Wednesday,January,Weekday,Evening,South Congress,Potato Wedges,Sides,5.49,2,10.98,4.76,Dine-in,Apple Pay
ORD-00017,2025-01-01,19:57,19,Wednesday,January,Weekday,Evening,The Domain,Chicken Wings,Sides,9.99,1,9.99,4.68,Dine-in,Apple Pay
ORD-00018,2025-01-01,20:00,20,Wednesday,January,Weekday,Evening,The Domain,Garlic Breadsticks,Sides,6.49,1,6.49,2.86,Delivery,Card
ORD-00019,2025-01-01,20:07,20,Wednesday,January,Weekday,Evening,East Austin,Brownie Sundae,Desserts,5.99,2,11.98,4.87,Dine-in,Card
ORD-00020,2025-01-01,20:17,20,Wednesday,January,Weekday,Evening,South Congress,Garlic Breadsticks,Sides,6.49,2,12.98,5.48,Delivery,Card
ORD-00021,2025-01-01,20:17,20,Wednesday,January,Weekday,Evening,The Domain,Buffalo Chicken,Pizza,16.49,3,49.47,25.13,Takeaway,Google Pay
ORD-00022,2025-01-01,20:19,20,Wednesday,January,Weekday,Evening,The Domain,Veggie Overload,Pizza,14.49,1,14.49,7.34,Dine-in,Card
ORD-00023,2025-01-01,20:56,20,Wednesday,January,Weekday,Evening,East Austin,Garlic Breadsticks,Sides,6.49,3,19.47,7.98,Dine-in,Google Pay
ORD-00024,2025-01-01,20:57,20,Wednesday,January,Weekday,Evening,South Congress,Buffalo Chicken,Pizza,16.49,1,16.49,7.98,Takeaway,Apple Pay
ORD-00025,2025-01-01,21:16,21,Wednesday,January,Weekday,Night,The Domain,Veggie Overload,Pizza,14.49,1,14.49,7.18,Dine-in,Cash
ORD-00026,2025-01-01,21:57,21,Wednesday,January,Weekday,Night,Downtown,Stuffed Garlic Bread,Sides,7.99,2,15.98,6.4,Dine-in,Cash
ORD-00027,2025-01-01,22:05,22,Wednesday,January,Weekday,Night,Round Rock,Margherita,Pizza,11.99,2,23.98,11.03,Dine-in,Card
ORD-00028,2025-01-01,22:55,22,Wednesday,January,Weekday,Night,East Austin,Pizza Mania Combo,Combos,19.99,2,39.98,14.23,Delivery,Card
ORD-00029,2025-01-01,23:46,23,Wednesday,January,Weekday,Night,Downtown,Buffalo Chicken,Pizza,16.49,2,32.98,15.66,Delivery,Card
ORD-00030,2025-01-02,10:49,10,Thursday,January,Weekday,Morning,East Austin,Lemonade,Beverages,3.99,2,7.98,4.02,Takeaway,Card
